TIME_PERIOD,REF_AREA,value
1996,DNK,124808.255
2016,DNK,296830.912
2020,DNK,365525.766
2019,DNK,352324.7
2018,DNK,331590.774
1997,DNK,131497.153
1998,DNK,136833.601
1999,CZE,159337.917
2005,CZE,225819.373
2010,CZE,294927.817
2013,CZE,326079.211
1995,CZE,144045.163
2002,CZE,187052.558
2000,CZE,167452.849
2009,CZE,289284.606
2011,CZE,306876.091
2008,CZE,290123.397
2003,CZE,199869.534
2004,CZE,214046.664
2017,CZE,416849.073
2021,CZE,502134.223
2015,CZE,359643.559
2022,CZE,551853.503
2023,CZE,578154.106
2014,CZE,344636.597
1996,CZE,152411.034
1997,CZE,153610.276
1998,CZE,155061.694
2001,CZE,180949.722
2016,CZE,385090.48
2020,CZE,479686.425
2019,CZE,486786.85
2018,CZE,442610.885
2006,CZE,244907.363
2007,CZE,270535.441
2008,CRI,56956.205
1994,CRI,22282.201
1995,CRI,23694.437
2003,CRI,37736.191
2004,CRI,40463.66
2015,CRI,85240.084
1991,CRI,17045.94
1992,CRI,19038.56
1993,CRI,20873.069
2014,CRI,79269.13
1996,CRI,24454.118
1997,CRI,26238.045
1998,CRI,28431.912
2001,CRI,33775.851
2012,AUT,389098.907
1997,AUT,201549.393
2020,AUS,1457431.898
2016,AUS,1212045.398
2020,CRI,111257.806
2016,CRI,93454.856
2014,GRC,288106.5
1996,GRC,167327.504
1997,GRC,177260.196
1998,GRC,186884.395
2016,GRC,296388.456
2019,GRC,342312.005
2018,GRC,319754.467
2015,GRC,287996.2
2006,GRC,309474.96
2012,GRC,271519.307
2007,DEU,3036890.394
2013,DEU,3700747.191
2002,DEU,2434538.243
1999,DEU,2177129.88
2000,DEU,2258168.659
2011,DEU,3483800.626
2008,DEU,3156603.244
1994,DEU,1863860.621
2003,DEU,2501219.037
2004,DEU,2620503.521
1991,DEU,1684939.298
1992,DEU,1758117.695
1993,DEU,1780583.933
2001,DEU,2361565.55
2014,DEU,3882205.229
1996,DEU,1979067.848
1997,DEU,2021638.859
1998,DEU,2087622.202
2008,COL,446420.184
2017,COL,693117.075
2021,COL,889808.627
2015,COL,624119.465
2002,FRA,1752379.882
1999,FRA,1464382.528
2000,FRA,1583999.756
2011,FRA,2450958.23
2008,FRA,2256556.707
1994,FRA,1178993.059
2003,FRA,1744718.683
2004,FRA,1813824.737
2017,FRA,2975788.964
2020,FRA,3345026.56
1990,FRA,1017918.217
1991,FRA,1064400.231
1992,FRA,1105739.308
1993,FRA,1127155.333
2021,FRA,3562921.495
2022,FRA,3821891.676
2014,FRA,2666946.532
2016,FRA,2861144.517
2019,FRA,3445275.062
2018,FRA,3114875.289
2015,FRA,2722897.597
1996,FRA,1270414.221
1997,FRA,1330389.936
2006,FIN,181410.944
2007,FIN,200147.924
2012,FIN,220560.261
1995,FIN,99882.175
1999,FIN,127906.561
2023,FIN,344157.017
2005,FIN,168125.312
2009,FIN,202709.732
2010,FIN,208905.573
2013,FIN,224769.845
2002,FIN,148717.716
2000,FIN,138603.964
2011,FIN,220089.24
2008,FIN,212967.586
1994,FIN,93856.223
2003,FIN,151419.303
2004,FIN,163115.285
2020,FIN,294705.685
2015,FIN,231615.487
2022,FIN,340851.132
1990,FIN,90427.802
1991,FIN,87992.308
1992,FIN,87022.546
1993,FIN,88390.176
2021,FIN,314676.634
2018,CAN,1852987.755
2017,CAN,1765763.154
2012,CAN,1468094.965
1996,CAN,712130.958
2002,BEL,312900.475
1999,BEL,260168.781
2005,BEL,347658.439
2002,EST,16092.428
2000,EST,13163.079
2009,IRL,188081.37
2002,IRL,138491.182
1999,IRL,101534.478
2000,IRL,114952.325
2008,IRL,198299.13
2003,IRL,145014.199
2004,IRL,157659.381
1997,IRL,83154.135
1998,IRL,93160.256
2007,IRL,205800.512
2010,IRL,196851.826
2011,IRL,208199.3
2017,IRL,388172.274
2018,IRL,423036.901
2021,IRL,596419.957
2012,IRL,214588.53
2022,IRL,709194.427
2019,IRL,458043.994
2001,IRL,125950.283
1996,IRL,74474.182
2013,IRL,225471.253
2005,IRL,168336.081
2020,IRL,492269.555
2014,IRL,244914.222
2015,IRL,336372.154
2016,IRL,347396.536
2006,IRL,189029.924
1995,IRL,68320.948
2023,ISL,30156.747
2009,ISL,13333.311
2010,ISL,12647.987
2007,ISL,12921.528
2013,ISL,14378.252
2002,ISL,9375.293
1999,ISL,8198.7
2000,ISL,8375.093
2008,ISL,13879.916
2003,ISL,9467.64
2007,EST,29764.935
2001,DNK,157881.117
2006,DNK,203355.637
2007,DNK,213605.148
2012,DNK,250251.697
1995,DNK,118596.386
1999,DNK,141784.554
2005,DNK,185552.256
2010,DNK,238785.553
2013,DNK,263167.345
2002,DNK,164861.515
2000,DNK,152935.673
2009,DNK,223703.054
2011,DNK,247576.907
2008,DNK,227806.115
1994,DNK,112739.321
2003,DNK,166396.475
2007,HUN,191964.742
2013,HUN,242786.7
2002,HUN,147628.015
1999,HUN,111512.148
2000,HUN,121195.359
2008,HUN,207878.441
2003,HUN,156622.449
2004,HUN,164269.732
2011,HUN,229272.126
2015,HUN,264000.114
2017,HUN,289157.121
2020,HUN,344108.182
2022,HUN,422741.088
2001,HUN,134721.896
2014,HUN,253655.115
1996,HUN,96761.491
1997,HUN,101300.876
2005,HUN,172400.813
2006,HUN,184969.947
2016,HUN,275019.599
2019,HUN,345399.741
2021,HUN,374519.892
2006,CRI,48008.272
2007,CRI,53356.257
2012,CRI,69073.803
2002,CRI,35474.31
1999,CRI,30047.819
2005,CRI,43392.076
2010,CRI,60585.846
2013,CRI,73210.057
2017,CRI,100716.907
2021,CRI,120695.516
2021,GRC,354397.985
2001,GRC,220567.311
2015,KOR,2030371.964
2017,KOR,2216570.012
2022,KOR,2845651.739
2021,KOR,2677430.057
2001,KOR,968314.971
2005,KOR,1261440.108
2006,KOR,1354106.859
2012,KOR,1760084.816
2020,KOR,2481996.469
2014,KOR,1879259.025
2016,KOR,2134380.444
2019,KOR,2407645.007
1998,JPN,3224451.313
2009,JPN,4295628.986
2010,JPN,4525401.306
2007,JPN,4482081.29
2013,JPN,5021591.104
2002,JPN,3647933.242
1999,JPN,3258971.755
2000,JPN,3461199.211
2004,JPN,3938955.766
2008,JPN,4517267.524
1994,JPN,2856992.794
2003,JPN,3753919.246
2011,JPN,4629400.467
2018,JPN,5344060.937
2015,JPN,5200905.36
2017,JPN,5262254.967
2022,JPN,5930403.849
2021,JPN,5574650.888
2023,JPN,6212962.95
2001,JPN,3552841.441
1996,JPN,3143992.145
1997,JPN,3229588.927
2005,JPN,4110440.486
2014,JPN,5034454.619
2016,JPN,5158900.414
2019,JPN,5404462.293
2020,JPN,5356710.652
2006,JPN,4300322.188
2012,JPN,4799612.88
1998,ITA,1426859.736
2023,ITA,3415330.821
2009,ITA,2053693.894
2010,ITA,2092362.151
2007,ITA,2004103.302
2006,DEU,2862480.213
2012,DEU,3557187.204
1995,DEU,1928824.46
2018,DEU,4665362.685
2015,DEU,3966573.485
2017,DEU,4472593.159
2020,DEU,4880368.089
2016,DEU,4246713.024
2019,DEU,4924979.716
2005,DEU,2664894.261
2009,DEU,3075794.923
2001,FRA,1678300.113
2006,FRA,2063300.377
2012,FRA,2473392.591
1995,FRA,1231773.397
2005,FRA,1922671.464
2009,FRA,2243174.618
2010,FRA,2335192.92
2007,FRA,2180894.212
2013,FRA,2612420.416
2011,ISR,243177.654
1995,ISR,114280.725
1996,ISR,123249.658
1997,ISR,130032.539
1998,ISR,136810.596
1999,ISR,143419.046
2000,ISR,162150.254
2001,ISR,166211.447
2014,FIN,226910.059
1996,FIN,102798.884
2016,FIN,244883.981
2019,FIN,288648.123
2018,FIN,271632.266
2017,FIN,260179.765
1997,FIN,111955.949
1998,FIN,121459.539
1995,EST,9302.773
1999,EST,11694.818
2005,EST,22540.871
2009,EST,27328.55
2010,EST,28782.097
2013,EST,36681.376
2023,IRL,682133.704
2021,MEX,2652858.847
2020,MEX,2454084.685
2017,MEX,2528308.492
2012,MEX,2103287.677
2016,MEX,2457812.63
2019,MEX,2636530.044
2014,MEX,2254435.514
2015,MEX,2309495.117
2003,MEX,1242555.251
1998,LUX,18800.261
2023,LUX,94916.077
2004,LUX,29636.184
2009,LUX,43244.043
2007,LUX,40861.436
2013,LUX,54838.627
2002,LUX,26135.007
1999,LUX,21456.896
2010,LUX,45801.234
2008,LUX,44452.835
2003,LUX,27188.061
2011,LUX,48970.83
2021,LUX,87543.157
2019,LUX,75250.624
2015,LUX,61453.779
2022,LUX,93643.094
2017,LUX,68570.173
2001,LUX,24788.008
1996,LUX,16447.819
1997,LUX,17817.294
2000,LUX,24050.724
2005,LUX,31997.214
2014,LUX,58578.312
2020,LUX,76953.19
2018,LUX,70910.332
2016,LUX,65980.114
2006,LUX,37280.664
2012,LUX,51308.749
2000,LTU,29626.842
2001,LTU,32823.06
2002,LTU,36142.806
2003,LTU,41276.14
2004,LTU,44231.005
2005,LTU,48225.813
2006,LTU,53780.072
2007,LTU,61762.855
2008,LTU,66317.557
2009,LTU,57462.676
2010,LTU,61412.722
2011,LTU,68742.962
2016,LTU,88542.968
2014,LTU,82260.023
2017,LTU,95488.64
2022,LTU,142993.166
2012,LTU,73433.949
2013,LTU,78660.833
2021,LTU,128830.337
2023,LTU,146206.397
1995,LTU,21655.565
2004,ISL,10402.862
2011,ISL,13059.434
1998,ISL,7870.929
2021,ISL,22951.037
2018,ISL,20174.854
2015,ISL,16280.817
2017,ISL,19106.258
2022,ISL,28049.039
2001,ISL,9086.333
1996,ISL,6660.263
1997,ISL,7284.697
2005,ISL,11074.926
2006,ISL,12060.17
2018,HUN,313129.747
2012,HUN,230205.082
1995,HUN,95192.781
2005,GRC,274725.034
2009,GRC,332630.771
2010,GRC,309638.619
2007,GRC,319266.944
2013,GRC,282144.506
2002,GRC,239683.368
1999,GRC,191106.359
2000,GRC,203320.263
2011,GRC,285313.404
2008,GRC,337220.075
2003,GRC,254138.479
2004,GRC,272004.138
2017,GRC,308462.173
2020,GRC,315962.938
2018,KOR,2347691.719
2009,LVA,35465.039
2007,NOR,264566.361
2008,NOR,295976.05
2009,NOR,268567.128
2010,NOR,284650.377
2011,NOR,309370.337
2022,NOR,672046.163
2013,NOR,342254.475
2018,NOR,373182.531
2020,NOR,361019.83
2017,NOR,340837.014
2021,NOR,481254.724
2012,NOR,330093.373
2023,NOR,554373.266
1990,NOR,78249.034
1991,NOR,83390.393
2016,NOR,310303.322
2019,NOR,379377.628
2014,NOR,340765.256
2015,NOR,315229.576
1992,NOR,88339.469
1993,NOR,93006.411
1998,NZL,73706.41
1999,NZL,78923.229
2000,NZL,82943.663
2001,NZL,87392.884
2002,NZL,92026.219
2003,NZL,96600.58
2004,NZL,102582.022
2005,NZL,106149.152
2006,NZL,116097.159
2007,NZL,123983.967
1990,NZL,49518.966
1993,NZL,57027.528
1994,NZL,61942.351
2008,NZL,127348.823
2009,NZL,132331.752
2010,NZL,136145.556
2011,NZL,143528.423
2016,NZL,188511.092
2017,NZL,203343.322
2018,NZL,208409.241
2021,NZL,245324.728
2019,NZL,225047.457
2012,NZL,145709.901
2022,NZL,274518.872
2020,NZL,230860.952
2013,NZL,161082.533
2023,NZL,282465.347
1991,NZL,50890.233
1992,NZL,52753.921
2014,NZL,168606.867
2015,NZL,173212.159
1995,NZL,65699.358
1996,NZL,68824.196
2003,NLD,556378.039
1995,NLD,362741.75
1996,NLD,381350.782
2002,NLD,558243.587
2004,NLD,585582.905
2005,NLD,616539.831
2006,NLD,673735.086
1997,NLD,406743.546
1998,NLD,435827.877
1999,NLD,463551.124
2000,NLD,507830.189
2001,NLD,533743.927
2007,NLD,724153.378
2002,ISR,171485.537
2003,ISR,165090.902
2004,ISR,177517.591
2005,ISR,178110.508
2006,ISR,185974.885
2007,ISR,202951.855
2008,ISR,205259.037
2009,ISR,210324.286
2010,ISR,224559.488
2017,ISR,343922.959
2018,ISR,357001.071
2021,ISR,432604.98
2012,ISR,256964.255
2022,ISR,511941.813
2019,ISR,374161.01
2013,ISR,280692.527
2023,ISR,525948.219
2020,ISR,377409.089
2014,ISR,286041.261
2015,ISR,300585.38
2016,ISR,326364.761
2007,MEX,1635081.229
1997,MEX,957371.743
1998,MEX,1028028.103
1999,MEX,1071236.888
2000,MEX,1154351.117
2001,MEX,1175035.914
2002,MEX,1194403.411
2008,MEX,1730732.457
2009,MEX,1701569.771
2010,MEX,1807626.79
1998,SVK,57493.687
1999,SVK,57875.756
2000,SVK,61256.622
2001,SVK,66529.372
2007,SVK,114119.498
2008,SVK,127563.77
2009,SVK,124239.421
2010,SVK,136858.792
2011,SVK,141446.643
2015,SVK,163560.446
2022,SVK,223223.392
2018,SVK,171626.822
2012,SVK,146127.825
2013,SVK,151983.42
2017,SVK,164513.699
2020,SVK,192849.276
2023,SVK,238504.273
2003,SVK,75711.175
2014,SVK,157726.567
2021,SVK,208880.701
2016,SVK,162206.925
2019,SVK,185363.044
2003,PRT,218089.864
1995,PRT,144345.162
1996,PRT,150118.359
2002,PRT,212108.896
2004,PRT,225177.009
2005,PRT,238691.186
2006,PRT,259717.065
1997,PRT,159578.146
1998,PRT,169542.593
1999,PRT,181041.019
2000,PRT,194263.635
2001,PRT,202390.927
2007,PRT,271364.859
2008,PRT,281542.549
2009,PRT,279615.953
2010,PRT,288593.893
2011,PRT,282976.93
2022,PRT,464925.33
2018,PRT,358872.48
2012,PRT,278393.447
2013,PRT,292449.417
2017,PRT,339609.368
2021,PRT,400564.201
2020,PRT,370352.386
2014,PRT,299181.382
2016,PRT,326173.516
2019,PRT,389494.934
2015,PRT,306764.466
1995,POL,297547.828
1996,POL,320860.472
2002,POL,452696.01
2004,POL,512208.981
1996,LTU,23121.172
2014,ISL,15058.764
2016,ISL,17939.411
2019,ISL,21822.649
2020,ISL,20447.443
2012,ISL,13471.498
1995,ISL,6402.776
1998,HUN,106922.229
2023,HUN,435174.443
2009,HUN,207275.142
2010,HUN,216934.52
2021,LVA,69560.373
2020,LVA,62223.402
1994,LVA,14835.391
2007,LVA,38023.892
2000,KOR,903703.824
2009,KOR,1515299.262
2007,KOR,1473266.62
2013,KOR,1807584.607
2002,KOR,1056449.99
2004,KOR,1186449.722
2010,KOR,1640278.015
2008,KOR,1531049.402
2003,KOR,1097077.589
2011,KOR,1695061.784
2012,POL,903168.472
2013,POL,929470.252
2017,POL,1145710.931
2021,POL,1518447.725
2020,POL,1391432.467
2023,POL,1715410.206
2003,POL,471080.326
2014,POL,967768.828
2016,POL,1076819.795
2019,POL,1362291.283
2015,POL,1025456.199
1995,NOR,106121.285
1996,NOR,117491.285
1997,NOR,126002.326
1998,NOR,124960.331
1999,NOR,136417.339
2000,NOR,166105.12
2001,NOR,170770.902
2002,NOR,172705.278
2003,NOR,176590.092
2004,NOR,195950.283
2005,NOR,221764.78
2006,NOR,253397.182
1993,SWE,180686.229
1994,SWE,191795.144
1995,SWE,203625.584
1996,SWE,211676.623
1997,SWE,219477.973
1998,SWE,229197.169
1999,SWE,243558.163
2000,SWE,262878.06
2001,SWE,266425.437
2002,SWE,276558.582
2003,SWE,284794.867
2004,SWE,304064.372
2005,SWE,308795.32
2018,SWE,538901.574
2021,SWE,647768.189
2019,SWE,584968.903
2012,SWE,430340.238
2022,SWE,690286.119
2020,SWE,594248.846
2013,SWE,442558.431
2023,SWE,700815.241
2006,SWE,342149.233
2007,SWE,373371.109
2014,SWE,454177.454
2015,SWE,477963.407
2016,SWE,497903.996
2017,SWE,516830.801
2008,SWE,386362.737
